week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario,inc_future,epi_time,cases_future,hosp_baseline,VE_used,hosp_with_vaccine,hosp_avoided,deaths_baseline,deaths_with_vaccine,deaths_avoided,costs_saved,vaccinated_weekly,vaccination_costs,net_cost
12,27001.663871025423,2027-2028,2027,2028,2028-12,0.0,25,0.4507370888307285,0.0118212580992959,0.0053282794619933,0.4507370888307285,0.0062799719169458,0.3424641453242879,mid,6.347272113729583,2028.2115384615386,15163.893317856639,1516.389331785664,0.7,1152.873048243472,363.5162835421918,108.11855935631785,82.19984833975957,25.918711016558277,4216425.372805882,12729.478094159937,1909421.7141239904,-2307003.658681892
13,28771.483090703416,2027-2028,2027,2028,2028-13,0.0,26,0.4507370888307285,0.0107943674307706,0.0048654217515147,0.4507370888307285,0.005806972915836,0.3482711182401239,mid,5.842854426350698,2028.2307692307693,13958.818781583297,1395.8818781583298,0.7,1055.5801383122016,340.30173984612816,99.52637791268891,75.26286386165998,24.263514051028935,3947159.8804752403,11623.692046660432,1743553.8069990647,-2203606.073476176
14,25397.34621966521,2027-2028,2027,2028,2028-14,0.0,27,0.4507370888307285,0.0098747245543156,0.0044509045986175,0.4507370888307285,0.0053282794619933,0.3535993977021173,mid,5.277896227648782,2028.25,12609.110481598273,1260.9110481598273,0.7,948.8108771301451,312.1001710296822,89.90295773379569,67.65021553937935,22.252742194416342,3620049.883773284,10633.39357318575,1595009.0359778623,-2025040.8477954217
15,21840.778408156617,2027-2028,2027,2028,2028-15,0.0,28,0.4507370888307285,0.0089773292096624,0.0040464152334383,0.4507370888307285,0.0048654217515147,0.358464819453632,mid,4.451244580020713,2028.2692307692307,10634.205802697266,1063.4205802697268,0.7,796.5813738529619,266.8392064167649,75.82188737323152,56.79625195571618,19.02563541751534,3095067.9552280563,9667.05189570867,1450057.7843563005,-1645010.1708717558
16,23477.614230762567,2027-2028,2027,2028,2028-16,0.0,29,0.4507370888307285,0.0081096888233366,0.0036553375315538,0.4507370888307285,0.0044509045986175,0.3629157240522496,mid,3.8454590112322804,2028.2884615384614,9186.95924165338,918.695924165338,0.7,685.309486613718,233.38643755162002,65.5030193929886,48.8625663955581,16.640452997430508,2707049.2891612407,8732.751231720822,1309912.6847581232,-1397136.6044031174
17,18186.54786064728,2027-2028,2027,2028,2028-17,0.0,30,0.4507370888307285,0.0072920849705532,0.0032868131511334,0.4507370888307285,0.0040464152334383,0.3669621392856879,mid,4.3429627349958615,2028.3076923076924,10375.516035377248,1037.5516035377248,0.7,771.0320943002752,266.5195092374496,73.97742933223978,54.97458832360962,19.002841008630156,3091359.787645178,7852.331377396889,1177849.7066095334,-1913510.0810356445
42,80724.96411944448,2028-2029,2028,2028,2028-42,0.0,3,0.5684862776569074,0.0653645615896744,0.0371588563087897,0.1371588563087897,0.0,0.0,mid,22.703568334537046,2028.7884615384614,54239.75559751072,5423.975559751072,0.7,5423.975559751072,0.0,386.7294574102514,386.7294574102514,0.0,0.0,88774.03123480725,13316104.685221087,13316104.685221087
43,64292.215837643445,2028-2029,2028,2028,2028-43,0.0,4,0.5684862776569074,0.0621451931089787,0.035328689504793,0.1724875458135827,0.0,0.0,mid,17.886289193854747,2028.8076923076924,42731.078221975935,4273.107822197594,0.7,4273.107822197594,0.0,304.6725877226885,304.6725877226885,0.0,0.0,84401.68770322017,12660253.155483026,12660253.155483026
44,51554.70032329951,2028-2029,2028,2028,2028-44,0.0,5,0.5684862776569074,0.0590228852080165,0.0335537003084762,0.206041246122059,0.0371588563087897,0.0371588563087897,mid,12.041286748659088,2028.826923076923,28767.127735303256,2876.7127735303256,0.7,2801.8860239150345,74.82674961529119,205.10962075271223,199.77447350514197,5.335147247570262,867915.4687877626,80161.1657386623,12024174.860799344,11156259.392011581
45,70726.19698527816,2028-2029,2028,2028,2028-45,0.0,6,0.5684862776569074,0.0559966423322492,0.0318333227607455,0.2378745688828046,0.035328689504793,0.0724875458135827,mid,14.078127046354426,2028.8461538461538,33633.222716949625,3363.3222716949626,0.7,3192.6629876162306,170.65928407873207,239.80487797185086,227.63687101703724,12.16800695481362,1979477.0360292133,76051.11324165418,11407666.986248126,9428189.950218912
