week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario
11,31108.524501525273,2029-2030,2029,2030,2030-11,0.0,24,0.6332716676024639,0.012883281761658568,0.00815861732539793,0.5893101484012212,0.009574809385988885,0.4723283647846764,mid
12,27001.663871025423,2029-2030,2029,2030,2030-12,0.0,25,0.6332716676024639,0.011821258099295946,0.007486067829700276,0.5967962162309215,0.008823166291146852,0.48115153107582326,mid
13,28771.483090703416,2029-2030,2029,2030,2030-13,0.0,26,0.6332716676024639,0.010794367430770635,0.0068357670635978435,0.6036319832945193,0.00815861732539793,0.48931014840122117,mid
14,25397.346219665214,2029-2030,2029,2030,2030-14,0.0,27,0.6332716676024639,0.009874724554315619,0.006253383285626449,0.6098853665801457,0.007486067829700276,0.49679621623092146,mid
15,21840.778408156617,2029-2030,2029,2030,2030-15,0.0,28,0.6332716676024639,0.008977329209662462,0.005685088239219257,0.615570454819365,0.0068357670635978435,0.5036319832945193,mid
16,23477.614230762567,2029-2030,2029,2030,2030-16,0.0,29,0.6332716676024639,0.008109688823336632,0.005135636164891452,0.6207060909842564,0.006253383285626449,0.5098853665801457,mid
17,18186.54786064728,2029-2030,2029,2030,2030-17,0.0,30,0.6332716676024639,0.0072920849705532765,0.0046178708096011375,0.6253239617938575,0.005685088239219257,0.515570454819365,mid
42,80724.96411944448,2030-2031,2030,2030,2030-42,0.0,3,0.6541255400162422,0.06536456158967449,0.04275662914777075,0.14275662914777076,0.0,0.0,mid
43,64292.215837643445,2030-2031,2030,2030,2030-43,0.0,4,0.6541255400162422,0.06214519310897873,0.04065075800182437,0.18340738714959512,0.0,0.0,mid
44,51554.70032329951,2030-2031,2030,2030,2030-44,0.0,5,0.6541255400162422,0.059022885208016594,0.03860837666001053,0.22201576380960567,0.04275662914777075,0.04275662914777075,mid
45,70726.19698527816,2030-2031,2030,2030,2030-45,0.0,6,0.6541255400162422,0.0559966423322492,0.03662883390467888,0.2586445977142845,0.04065075800182437,0.08340738714959511,mid
46,61784.98855322787,2030-2031,2030,2030,2030-46,0.0,7,0.6541255400162422,0.05306545850049194,0.03471147169784378,0.29335606941212833,0.03860837666001053,0.12201576380960566,mid
47,74891.45784655388,2030-2031,2030,2030,2030-47,0.0,8,0.6541255400162422,0.05022831697025985,0.03285562496227821,0.32621169437440656,0.03662883390467888,0.15864459771428452,mid
48,78791.11519847276,2030-2031,2030,2030,2030-48,0.0,9,0.6541255400162422,0.047484189884816855,0.03106062135063961,0.35727231572504614,0.03471147169784378,0.19335606941212832,mid
49,93357.77378230238,2030-2031,2030,2030,2030-49,0.0,10,0.6541255400162422,0.0448320379004977,0.029325781001691698,0.38659809672673784,0.03285562496227821,0.22621169437440652,mid
50,99881.3248097,2030-2031,2030,2030,2030-50,0.0,11,0.6541255400162422,0.04227080979272265,0.027650416282588564,0.4142485130093264,0.03106062135063961,0.25727231572504616,mid
51,109526.88845336525,2030-2031,2030,2030,2030-51,0.0,12,0.6541255400162422,0.03979944203895961,0.02603383151607959,0.44028234452540604,0.029325781001691698,0.28659809672673786,mid
52,97597.25251858615,2030-2031,2030,2030,2030-52,0.0,13,0.6541255400162422,0.037416858376699856,0.02447532269137005,0.464757667216776,0.027650416282588564,0.3142485130093264,mid
1,88716.35546435432,2030-2031,2030,2031,2031-01,0.0,14,0.6541255400162422,0.02806626102658422,0.018358858150251216,0.4831165253670272,0.02603383151607959,0.340282344525406,mid
2,84828.87590899944,2030-2031,2030,2031,2031-02,0.0,15,0.6541255400162422,0.026874853634218456,0.017579528146340617,0.5006960535133679,0.02447532269137005,0.36475766721677605,mid
3,68763.05622401096,2030-2031,2030,2031,2031-03,0.0,16,0.6541255400162422,0.02533841532331421,0.016574504606518735,0.5172705581198866,0.018358858150251216,0.3831165253670272,mid
