flu_season,region,age_class,population
2010-2011,Indiana,35-39,404049.164
2010-2011,Indiana,40-44,430116.852
2010-2011,Indiana,45-49,449667.618
2010-2011,Indiana,5-9,443150.69600000005
2010-2011,Indiana,50-54,475735.306
2010-2011,Indiana,55-59,430116.852
2010-2011,Indiana,60-64,371464.554
2010-2011,Indiana,65-69,267193.80199999997
2010-2011,Indiana,70-74,195507.66
2010-2011,Indiana,75-79,149889.206
2010-2011,Indiana,80-84,123821.518
2010-2011,Indiana,85+,117304.59600000002
2010-2011,Indiana,total,6516922.0
2010-2011,Iowa,0-5,199050.08500000002
2010-2011,Iowa,10-14,202112.394
2010-2011,Iowa,15-19,217423.93899999998
2010-2011,Iowa,20-24,217423.93899999998
2010-2011,Iowa,25-29,195987.776
2010-2011,Iowa,30-34,189863.158
2010-2011,Iowa,35-39,174551.613
2010-2011,Iowa,40-44,186800.849
2010-2011,Iowa,45-49,208237.01200000002
2010-2011,Iowa,5-9,199050.08500000002
2010-2011,Iowa,50-54,223548.55699999997
2010-2011,Iowa,55-59,205174.703
2010-2011,Iowa,60-64,186800.849
2010-2011,Iowa,65-69,122492.36
2010-2011,Iowa,70-74,104118.50600000001
2010-2011,Iowa,75-79,82682.34300000001
2010-2011,Iowa,80-84,70433.107
2010-2011,Iowa,85+,76557.725
2010-2011,Iowa,total,3062309.0
2010-2011,Kansas,0-5,200986.66000000003
2010-2011,Kansas,10-14,203857.898
2010-2011,Kansas,15-19,206729.13600000003
2010-2011,Kansas,20-24,209600.37399999998
2010-2011,Kansas,25-29,195244.184
2010-2011,Kansas,30-34,180887.994
2010-2011,Kansas,35-39,169403.04200000002
2010-2011,Kansas,40-44,180887.994
2010-2011,Kansas,45-49,192372.94600000003
2010-2011,Kansas,5-9,198115.42200000002
2010-2011,Kansas,50-54,206729.13600000003
2010-2011,Kansas,55-59,189501.708
2010-2011,Kansas,60-64,157918.09
2010-2011,Kansas,65-69,109107.044
2010-2011,Kansas,70-74,83265.90199999999
2010-2011,Kansas,75-79,71780.95
2010-2011,Kansas,80-84,57424.76
2010-2011,Kansas,85+,60295.99800000001
2010-2011,Kansas,total,2871238.0
2010-2011,Kentucky,0-5,279638.784
2010-2011,Kentucky,10-14,284008.14
